network_id,pair_id,Location,Site,Management,Treatment,day,moisture,respiration,total_biomass,total_flux,dominant_real_eigenvalue,reactivity,S_full,beta_out_json,beta_in_json,S_het,S_Ftot,S_reconstructed,S_reconstruction_error,beta_norm_converged
De_S3_In_C_d0,De_S3_In,De,S3,In,C,d0,44.5333333333333,0.000618640200775724,2187346.184156085,1163.4442075944407,-8.910691534746865e-06,0.14134131270398007,42.01947542876634,"[0.0, 12.965291862534514, 2.2686410634969323, 15.113143201298351, 33.669377975542766, 0.0, 0.002305615656606641, 2.223391234827862, 9.77782930610384, 0.46651624787263, 0.0016174219759913743, 0.0017240984096272192, 0.00348392284999398]","[0.3908506478804072, 0.420767666004169, 0.00973671608132002, 0.23181330426775854, 2.3121231983058226, 0.1484332541785061, 3.691260075976578e-06, 0.05229635743189343, 0.01383025286058084, 1.4683525236547248e-05, 0.0, 0.0, 0.0]",-123.6356405847302,169.4193607049922,45.78372012026199,-3.764244691495648,True
De_S3_In_D_d0,De_S3_In,De,S3,In,D,d0,24.7,0.000372689938398357,3158440.5666212384,1931.7839433508657,-8.141262807766728e-06,0.12866802186665244,46.893211998345755,"[0.0, 9.82753127027048, 4.818657610789017, 11.31875930595553, 13.078098285050098, 0.0, 0.030491979262699816, 0.0016457798412064294, 6.177697754839659, 0.2736152293812871, 0.000872736153960396, 0.001042535429474994, 0.003161756412307119]","[0.7511303426924983, 0.5350637754631222, 0.010419474087918124, 0.2861892787369605, 0.5139992426602523, 0.3254226372865096, 3.4110710689087214e-05, 0.003470276791828427, 0.06645247501883798, 3.6345407317853547e-06, 0.0, 0.0, 0.0]",-132.20671926622146,181.5887802709254,49.38206100470396,-2.488849006358201,True
De_S4_Ex_C_d0,De_S4_Ex,De,S4,Ex,C,d0,64.3,0.000398053083884706,3063242.9680096055,912.7814652676839,-4.446512038254571e-05,0.10124548887968073,44.39730061479529,"[0.0, 7.494024178305203, 2.21991511486949, 2.2463745051215893, 70.18159986990078, 0.0, 0.0298093230215995, 3.5145086890606865, 9.988365335579783, 0.1598547889365075, 3.5814287467368024e-09, 0.0020000567844446703, 0.0059389765824643375]","[0.601639855881778, 0.27115931523773984, 0.012891466131050858, 0.05324182433972167, 0.8351214316173634, 0.25018391697280934, 0.0005470886252435942, 0.15405088265634997, 0.020229837013942258, 6.06824070297431e-08, 0.0, 0.0, 0.0]",-117.08870017291726,163.5959158315687,46.50721565865145,-2.109915043856155,True
De_S4_Ex_D_d0,De_S4_Ex,De,S4,Ex,D,d0,40.0,0.000322952315765458,2302698.188226454,1212.321740261526,-0.0002455225828239549,0.09410764428339877,62.7186993909329,"[0.0, 2.949755191341978, 1.2376878081478384, 1.2685634181466892, 5.554094131545989, 0.0, 0.0005486005745802173, 0.9418100450981153, 9.34026216538147, 0.12996689520418717, 6.2473789480822595e-12, 0.001607164881758563, 2.224106578428984e-05]","[0.2580764881823932, 0.19531464730979445, 0.010685634888716662, 0.03505415583230645, 0.19260943383659831, 0.08655950126916431, 0.0043182638525748555, 0.05151581667127529, 0.019286530500941507, 2.7662086225770433e-09, 0.0, 0.0, 0.0]",-104.31033066086823,170.40702224789695,66.09669158702872,-3.3779921960958177,True
De_S4_In_C_d0,De_S4_In,De,S4,In,C,d0,58.6,0.000563921210738459,4337736.081304694,887.7126921054538,-9.147971899109534e-06,0.11826082387840123,36.103660444684444,"[0.0, 8.394703831221898, 2.599982145437122, 37.95420476434678, 43.11712918582568, 0.0, 0.014699353315967115, 1.1638658590312339, 8.794408910046478, 0.032207526420542344, 4.5939800523176545e-10, 0.0019188346617221978, 0.008099567285159053]","[1.2252981489958596, 0.2677714454244107, 0.011892831976937438, 0.6181534241542235, 1.0762794090746752, 0.45860719002755185, 2.7158125996343336e-06, 0.07037780961047717, 0.02302876231819506, 3.5019974293102057e-07, 0.0, 0.0, 0.0]",-126.3671724609625,162.92755549713425,36.56038303617176,-0.4567225914873134,True
De_S4_In_D_d0,De_S4_In,De,S4,In,D,d0,38.0666666666667,0.000396151798615864,4864147.887873941,1012.5950213812362,-7.189509908151e-06,0.1335796437236154,46.69167768162873,"[0.0, 3.661014524172645, 3.1397070193351415, 3.244913795176487, 4.517260822299716, 0.0, 0.0021359674876300565, 2.017743628019495, 3.9973783682626665, 0.052476162300911657, 0.004245661989599033, 0.0015674918618939775, 0.006687629129699871]","[0.504036552409536, 0.4012935126884806, 0.0227599093909029, 0.09845286533207113, 3.2511584825273108, 0.12537947581078543, 8.548743543519446e-06, 0.07687556897506918, 0.007653538487307433, 2.2329567124629642e-07, 0.0, 0.0, 0.0]",-117.79653738129707,166.0865194285196,48.28998204722254,-1.5983043655938047,True
De_S5_Ex_C_d0,De_S5_Ex,De,S5,Ex,C,d0,57.8333333333333,0.000375465814890866,1920194.121959865,979.7929128476356,-2.787229167298078e-05,0.1183851090194408,40.16772525786849,"[0.0, 14.812955716385966, 0.06651619239824809, 1.702557991192144, 87.36918265353913, 0.0, 0.2229846742689711, 2.0311016484066973, 13.217995806285849, 0.7890909172939783, 2.5304347750917818e-05, 0.0009812036409546263, 0.007114536852495596]","[1.9302431284353532, 0.06568579183228765, 0.0034219828341227805, 0.05927850480238324, 0.9124944341171647, 0.3285365418739158, 9.149300078464249e-06, 0.09165031264147441, 0.03846604335367824, 0.00337230250254168, 0.0, 0.0, 0.0]",-124.85404649644646,165.29618966193627,40.44214316548981,-0.27441790762132,True
De_S5_Ex_D_d0,De_S5_Ex,De,S5,Ex,D,d0,30.0666666666667,0.000319491976576165,3050688.684204969,754.6561851997899,-3.957886406119166e-05,0.12233492737683571,48.35087001703259,"[0.0, 15.443580552451145, 0.11084773390007885, 1.4454113368969035, 3.661170322092204, 0.0, 0.38270506129708737, 0.6514908471462734, 34.51487799607962, 0.7327162182864526, 0.003201966158979007, 0.006193879914694426, 0.01986377479917724]","[0.3381969216177363, 1.6240355511520945, 0.0002893905883011434, 0.05363861864637031, 0.15927061605363063, 0.6933381307464995, 3.47178448870898e-05, 0.04766252156437716, 0.09765434787772814, 6.25528978491665e-05, 0.0, 0.0, 0.0]",-107.00719498315917,159.03029428053543,52.02309929737626,-3.6722292803436716,True
De_S5_In_C_d0,De_S5_In,De,S5,In,C,d0,56.6,0.000477260628184653,2073241.03292322,431.70206631918154,-1.8830506459083037e-05,0.10068569451120286,16.677755237536676,"[0.0, 48.25249736841253, 49.47604206703664, 49.54748788141068, 53.85252434112834, 0.0, 0.4526954355210811, 0.0005609120602799098, 17.662538452446775, 0.26703845757911104, 2.03898661799937e-11, 0.004197043255755125, 0.02076680716188033]","[9.013002191579243, 1.2980826757942543, 0.13518346102905007, 0.4820141292871701, 1.8451165269026983, 0.3874169758227766, 4.4102984130104705e-05, 0.026904136265028022, 0.019347471913054887, 9.11340967862694e-07, 0.0, 0.0, 0.0]",-125.36713136005689,145.62565653648403,20.258525176427142,-3.580769938890466,True
De_S5_In_D_d0,De_S5_In,De,S5,In,D,d0,35.4333333333333,0.000294509088143585,2744050.8212938495,704.4528865458933,-3.137576392215852e-05,0.13798342358988297,45.60220876564571,"[0.0, 5.013564773526253, 1.3009772144136218, 6.037562498350977, 13.331175258091584, 0.0, 0.2942514543891548, 1.2402507120061173, 3.6833447252580234, 0.06115283386885023, 0.0013661664678786545, 0.0023222882252745985, 0.000125465252341414]","[0.2511620072001555, 0.7058088983941343, 0.01689994648382766, 0.34363703465812817, 0.6973439059169537, 0.18508842742122372, 0.017421185556153553, 0.08734537515682522, 0.014232996244401703, 1.2264166952974342e-07, 0.0, 0.0, 0.0]",-111.66018207235676,157.3781148978943,45.717932825537545,-0.1157240598918321,True
Sc_S1_Ex_C_d0,Sc_S1_Ex,Sc,S1,Ex,C,d0,65.5,0.000354817856871245,2042584.8562588869,410.4021028459565,-2.5234792559484427e-05,0.10969618132862781,14.114476168270922,"[0.0, 53.50457545297004, 12.135902620917312, 73.65719200458454, 99.20164606186306, 0.0, 8.332092776045842e-05, 5.141243825573244, 60.577533069092595, 0.4229633983817705, 1.0000000000000002e-12, 0.004106565774590877, 0.013187206341203682]","[3.529828055828809, 0.8880654696433252, 0.03425930184369342, 0.7551244885503844, 2.163719629210672, 0.9075963255062464, 1.3936104848328619e-06, 0.14775218270453538, 0.0661817583668953, 1.0000000000000002e-12, 0.0, 0.0, 0.0]",-126.18644455657756,144.41129802569014,18.22485346911259,-4.110377300841666,True
Sc_S1_Ex_D_d0,Sc_S1_Ex,Sc,S1,Ex,D,d0,24.9333333333333,0.000267510837326032,2163847.997300136,262.55469646281097,-2.1930222029754345e-05,0.09422228060525382,6.070450539434766,"[0.0, 41.964603148581595, 25.659143969253986, 44.60314240563303, 43.875497638214156, 0.0, 0.4606777574280924, 10.213754292022783, 47.512257553517095, 5.046392157665424, 1.0666605220794746e-06, 0.009094959180193636, 0.011240290920932148]","[2.476860163399765, 1.2351197346157718, 0.056291538751590785, 2.053499376912366, 0.9407105806169677, 0.6884990367615329, 1.5064297826824634e-05, 0.13976395612697035, 0.0852875498595138, 2.1794949379328196e-05, 0.0, 0.0, 0.0]",-124.53087097997371,133.69102626728557,9.160155287311852,-3.089704747877086,True
