network_id,Location,Site,Management,Treatment,valid_feasible_samples,dominant_real_eigenvalue_observed,dominant_real_eigenvalue_valid_samples,dominant_real_eigenvalue_median,dominant_real_eigenvalue_p01,dominant_real_eigenvalue_p99,dominant_real_eigenvalue_p20,dominant_real_eigenvalue_p80,dominant_real_eigenvalue_empirical_rank,dominant_real_eigenvalue_match_class,reactivity_observed,reactivity_valid_samples,reactivity_median,reactivity_p01,reactivity_p99,reactivity_p20,reactivity_p80,reactivity_empirical_rank,reactivity_match_class,total_flux_observed,total_flux_valid_samples,total_flux_median,total_flux_p01,total_flux_p99,total_flux_p20,total_flux_p80,total_flux_empirical_rank,total_flux_match_class,S_full_observed,S_full_valid_samples,S_full_median,S_full_p01,S_full_p99,S_full_p20,S_full_p80,S_full_empirical_rank,S_full_match_class
Sc_S1_Ex_D_d0,Sc,S1,Ex,D,985,-2.1930222029754345e-05,985,-1.073333595681834e-05,-4.38724823892637e-05,-3.6544226754436064e-07,-1.9021221799527488e-05,-5.137440464379025e-06,0.14213197969543148,reproduced,0.09422228060525382,985,0.09604792941105388,0.09056894724341112,4.6338183582444755e+28,0.0928280419422208,0.10295711452500574,0.3411167512690355,reproduced,262.55469646281097,985,241.31598993455617,61.76337610698069,776.9069487181687,141.9163627408344,372.27587292658785,0.5583756345177665,reproduced,6.070450539434766,952,0.41983527342825333,-19.790787586566463,94.89694789390194,-6.731157434345736,6.872353745283587,0.7710084033613446,reproduced
Sc_S1_In_D_d0,Sc,S1,In,D,949,-2.3522922023643462e-08,949,-1.6921068771679805e-07,-1.0048886042612528e-06,-2.2700684599574014e-09,-4.0275574642744466e-07,-5.902474643814326e-08,0.9125395152792413,reproduced,0.13556075907562187,949,0.11830071430008757,0.10160879173332205,3.34783334063862e+29,0.10908431996111166,0.1349983311509238,0.8029504741833509,reproduced,436.70897240101425,949,406.76771920609633,128.13741197327346,1247.652725630239,252.0968804650522,630.6509869613956,0.5458377239199157,reproduced,25.695367068865792,937,19.34391503418435,1.7654636607380336,38.21736249915872,13.38407956935012,24.88944359453049,0.8260405549626467,reproduced
Sc_S2_Ex_D_d0,Sc,S2,Ex,D,979,-1.707919207086267e-05,979,-8.56912254880601e-06,-3.6575774659267934e-05,-1.5357180335404087e-07,-1.5244076099168942e-05,-3.4467253584048325e-06,0.15219611848825332,reproduced,0.10472269539824901,979,0.10874886396643425,0.09681271135055339,1.9543291951376906e+28,0.10242420487642787,0.12302280335676792,0.30337078651685395,reproduced,169.13347376280643,979,154.98845753984187,49.980252937030905,478.6838658507574,103.29365455950162,224.90293762169634,0.5658835546475995,reproduced,5.602625975236613,893,-0.2754842138957372,-17.91208891479307,19.791486985829625,-5.811954145662034,5.345873163303121,0.8040313549832027,reproduced
Sc_S2_In_D_d0,Sc,S2,In,D,988,-3.623691563163486e-05,988,-1.921936772515506e-05,-7.080490009925379e-05,-5.294448073500937e-07,-3.209098960906014e-05,-9.181550734104977e-06,0.145748987854251,reproduced,0.09877816518723229,988,0.10272660483655682,0.0895251884569291,3.8059221552280565e+27,0.0950041678642942,0.11247619489026575,0.3714574898785425,reproduced,191.5465696304238,988,178.49341859621694,57.073140663228266,514.4415784817365,117.68167689565877,261.38930356671324,0.555668016194332,reproduced,3.5900423075928742,945,-2.2909812659076003,-21.76178536951213,15.619688186158962,-9.106642466149484,3.154343809189735,0.8137566137566138,reproduced
Sc_S3_Ex_D_d0,Sc,S3,Ex,D,911,-2.2399403452704862e-05,911,-1.2747878383016039e-05,-5.040862037646094e-05,-1.8411282757403977e-07,-2.126926618086642e-05,-6.435367778228843e-06,0.17233809001097694,reproduced,0.10267605074388234,911,0.11465152395054569,0.09185614741158793,1.4638576306347287e+30,0.10244634655534848,0.31874653355194277,0.20856201975850713,reproduced,137.92147726711846,911,137.15968059282102,42.7448942831941,350.42752329177756,89.51964816370584,187.20892366834735,0.5049396267837541,reproduced,11.609299685873834,862,4.8210643989976045,-12.321060534496432,334.9220284765454,-0.8053226577203971,10.14473637995142,0.8596287703016241,reproduced
Sc_S3_In_D_d0,Sc,S3,In,D,974,-6.610753519016379e-05,974,-4.275863612756276e-05,-0.00019739735306072755,-1.2208592495906398e-06,-8.445339940052087e-05,-1.9223649749063007e-05,0.2915811088295688,reproduced,0.10940616680535746,974,0.11638626404632806,0.10059654472128435,1.4525399741823454e+29,0.1077475600636252,0.13032151434222097,0.27104722792607805,reproduced,799.8769504291707,974,765.1737387655869,233.46992482903022,2104.242092447202,507.5940777311977,1081.8005989567584,0.5544147843942505,reproduced,34.78273824730953,949,28.777586806581553,10.66340991274102,484.21951408820576,22.74763125288664,35.38807708723954,0.7787144362486829,reproduced
Sc_S4_Ex_D_d0,Sc,S4,Ex,D,853,-3.427043053886566e-05,853,-2.397750373221656e-05,-0.0001242916880005755,-1.0013888073372782e-06,-4.226900241216353e-05,-1.3190200937636807e-05,0.30246189917936694,reproduced,0.11232612107437077,853,0.12748391380637872,0.10152559209900615,2.896339000981916e+29,0.11299301486947286,0.35421287876163626,0.17936694021101993,reproduced,281.89035073753354,853,264.2645669966245,99.05831653867065,822.1936755615222,182.6994991509163,376.30524441431464,0.5568581477139508,reproduced,34.195199930160605,832,27.401295078248893,10.591751874669942,307.56929721919926,21.55034351384947,32.528309631582815,0.859375,reproduced
Sc_S4_In_D_d0,Sc,S4,In,D,972,-3.813702510763179e-05,972,-2.079853919397695e-05,-8.135760810274068e-05,-6.37645840716901e-07,-3.547399133544379e-05,-1.0108225666807263e-05,0.1646090534979424,reproduced,0.0865644472932105,972,0.09239952436665867,0.08053831386346783,3.2501806087298072e+28,0.08544472597750213,0.10423622427078687,0.2551440329218107,reproduced,278.56610454860396,972,248.7842879969331,71.8983379363817,870.6714800805642,159.72691164132632,373.9892687541658,0.5925925925925926,reproduced,15.340595769812419,898,10.001665972221456,-8.271326992799999,38.73702591851139,4.069669166273699,16.24907124231431,0.7683741648106904,reproduced
Sc_S5_Ex_D_d0,Sc,S5,Ex,D,979,-1.3471226882627047e-05,979,-8.710710643504693e-06,-4.878055338234923e-05,-1.14037199922094e-07,-2.0441204709822152e-05,-3.114721463968406e-06,0.34933605720122574,reproduced,0.11816175003915093,979,0.12402127343743803,0.10980753910645508,4.0239079629825106e+28,0.11709570110709532,0.133681683514441,0.24719101123595505,reproduced,342.14664892694856,979,316.4417746911332,81.26995987957926,954.6772497314183,186.77805504126758,496.35224301551875,0.5607763023493361,reproduced,11.968880906728936,965,4.932638972599332,-13.650436338047296,21.33099214590871,-0.8887120261220053,10.144235265042287,0.8580310880829015,reproduced
Sc_S5_In_D_d0,Sc,S5,In,D,908,-3.9327445906018806e-05,908,-2.5507373663558938e-05,-0.00014471724617167022,-3.283489487169848e-07,-5.704133734916775e-05,-8.802738464746065e-06,0.34140969162995594,reproduced,0.11020417177230164,908,0.11856242422877018,0.10032188062013035,1.0229446572911081e+30,0.10848909315242493,0.144211952453505,0.2599118942731278,reproduced,771.1098785567473,908,713.4120349640565,253.0572313181558,2249.4516910717834,486.98781074896993,1052.5936805460644,0.5495594713656388,reproduced,45.53650569627362,901,39.4109365631077,21.914321382947684,56.520612471131614,33.7363515649306,44.534728718670614,0.8468368479467259,reproduced
