subset,relationship,c,n_valid,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
all,S_het vs reactivity,0.0075,59.0,0.23870926434037087,0.06864490126626721,0.23261250730566924,0.07624383448665158,0.0004224111648196239,0.17424155251076373,0.05698211288192107
all,S_het vs reactivity,0.01,59.0,0.15050879668974243,0.25518716483136156,0.12168322618351841,0.35857373266687753,0.0002894178438315666,0.1496104204488773,0.022652897880994206
all,S_het vs reactivity,0.015,59.0,0.1319840920276546,0.31902394974942117,0.13424897720631213,0.31071608538217216,0.0002956200855637298,0.1339944935689339,0.017419800548364398
all,S_het vs reactivity,0.02,59.0,0.08959239484000751,0.49979838322747905,0.10911747516072474,0.41069299056850117,0.00019389282636958122,0.1103782591510738,0.008026797213167805
all,S_het vs reactivity,0.03,58.0,0.09342289185898277,0.48547295667689866,0.10640130425420655,0.42664331038890546,0.00022228437292279977,0.09780149822961073,0.008727836723295182
all,S_het vs reactivity,0.05,59.0,0.04771022297141624,0.7197203100642731,0.032729398012857985,0.8056155003610146,0.00012772029451509802,0.06825706208696052,0.0022762653759822553
control_only,S_Ftot vs dominant_real_eigenvalue,0.001,29.0,-0.15546189415438144,0.4206604658864651,-0.15812807881773394,0.41263703382935113,-2.63578471725319e-08,9.005111230966565e-07,0.02416840053406809
control_only,S_Ftot vs dominant_real_eigenvalue,0.0025,28.0,-0.23922768702101777,0.22017660258254518,-0.20306513409961688,0.30002598489473004,-8.214842842777858e-08,5.442236822256172e-06,0.05722988623742603
control_only,S_Ftot vs dominant_real_eigenvalue,0.005,29.0,-0.16867999215381982,0.3817345866027681,-0.18965517241379307,0.3244373193243404,-1.3284628381412552e-07,5.462672475346594e-06,0.028452939753012715
control_only,S_Ftot vs dominant_real_eigenvalue,0.0075,29.0,-0.19893243250267884,0.3008805390730523,-0.18916256157635464,0.3257189660095857,-2.0377615710458334e-07,9.910660153545684e-06,0.03957411270143291
control_only,S_Ftot vs dominant_real_eigenvalue,0.01,29.0,-0.2042968616752941,0.28776316313259004,-0.20344827586206893,0.289813551924768,-2.6483460753584586e-07,1.2980982891538827e-05,0.04173720769037425
control_only,S_Ftot vs dominant_real_eigenvalue,0.015,29.0,-0.20518027380761786,0.2856384555737129,-0.1926108374384236,0.31681260682710827,-3.756034601301079e-07,1.8014909036297693e-05,0.042098944759769025
control_only,S_Ftot vs dominant_real_eigenvalue,0.02,29.0,-0.2079004658250083,0.27915905352085285,-0.2029556650246305,0.29100806360578235,-4.857384618616059e-07,2.380450479126878e-05,0.04322260369025539
control_only,S_Ftot vs dominant_real_eigenvalue,0.03,29.0,-0.22036121061580113,0.2506915047244931,-0.2177339901477832,0.2565281594462969,-7.268963106100813e-07,4.0216884059323776e-05,0.04855906314406149
control_only,S_Ftot vs dominant_real_eigenvalue,0.05,29.0,-0.24443634627967442,0.2012782502496992,-0.24384236453201966,0.20241002321290213,-1.2351782874099304e-06,8.136496604367849e-05,0.05974912738255689
control_only,S_Ftot vs reactivity,0.001,29.0,0.5520689349583752,0.0019031540303639442,0.5620689655172413,0.001507545665513187,0.000666186331587879,0.05761598599188526,0.30478010894607493
control_only,S_Ftot vs reactivity,0.0025,28.0,0.6002383512926697,0.000733572672093215,0.6327312534209085,0.00030259827253390035,0.0006344357979147152,0.052223792434664684,0.36028607836254256
control_only,S_Ftot vs reactivity,0.005,29.0,0.47838547575756313,0.008664323395334253,0.4763546798029556,0.008993422356371817,0.000557862237548128,0.05066614821778809,0.22885266341579003
control_only,S_Ftot vs reactivity,0.0075,29.0,0.3968833413075461,0.033031250331355885,0.3467980295566502,0.0653163078422845,0.0005383023497481445,0.04202222673426054,0.15751638660744238
control_only,S_Ftot vs reactivity,0.01,29.0,0.345823383888197,0.06612709676621552,0.28620689655172404,0.13228183277846606,0.0005235955450796126,0.034307475186073105,0.1195938128438833
control_only,S_Ftot vs reactivity,0.015,29.0,0.3072625897538901,0.10493744198613023,0.2556650246305418,0.18069770262548018,0.0005222069204279734,0.01857956260451113,0.0944102990622674
control_only,S_Ftot vs reactivity,0.02,29.0,0.3088294202570964,0.10308656155674112,0.23990147783251226,0.21002978051388488,0.0005520055021328042,0.001963536433276916,0.09537561081633428
control_only,S_Ftot vs reactivity,0.03,29.0,0.33920181462537413,0.07184426961369653,0.29211822660098513,0.12412952629052428,0.0006263950016333399,-0.02658302869915695,0.11505787104514671
control_only,S_Ftot vs reactivity,0.05,29.0,0.3948236811463042,0.034036284609336505,0.36502463054187184,0.05153086061918524,0.0007377813674757833,-0.06443722350201538,0.15588573919391846
control_only,S_full vs dominant_real_eigenvalue,0.001,28.0,-0.34778081586771525,0.0697599012887237,-0.3305966064586754,0.08574375913006747,-5.122751249232268e-08,-1.594978605315518e-06,0.12095149588561366
control_only,S_full vs dominant_real_eigenvalue,0.0025,29.0,-0.422381364347255,0.02245707659103456,-0.42315270935960586,0.022186734863098318,-1.6408141957191266e-07,-2.5955786424455745e-06,0.17840601694784866
control_only,S_full vs dominant_real_eigenvalue,0.005,28.0,-0.3366566944820104,0.07981744162295276,-0.35467980295566504,0.06403291994997143,-2.394619438700978e-07,-7.402084238864682e-06,0.11333772993955374
