c,network_id,pair_id,Location,Site,Management,Treatment,total_flux,S_full,S_het,S_Ftot,dominant_real_eigenvalue,reactivity
0.005,Sc_S5_In_C_d0,Sc_S5_In,Sc,S5,In,C,1091.15950758887,50.77764399458496,-130.5957120364455,167.87990827806345,-8.817973567624854e-06,0.124890486286219
0.005,Sc_S5_In_D_d0,Sc_S5_In,Sc,S5,In,D,720.607461224757,45.09747530008726,-111.67183053271074,157.92226925865754,-1.9718116225238306e-05,0.12964114507544122
0.005,Yo_S1_Ex_C_d0,Yo_S1_Ex,Yo,S1,Ex,C,528.2313556305637,28.515473494997224,-118.45894598501485,150.46882467069605,-1.1080997934618685e-05,0.13114887945097178
0.005,Yo_S1_Ex_D_d0,Yo_S1_Ex,Yo,S1,Ex,D,515.3631439667392,37.56453251098682,-108.56127547984546,149.8769228661509,-1.769385766769532e-05,0.13021897931147525
0.005,Yo_S1_In_C_d0,Yo_S1_In,Yo,S1,In,C,345.6736065252591,,-110.14722698372032,140.2918799063138,-1.0867688355510028e-05,0.12783520020703984
0.005,Yo_S1_In_D_d0,Yo_S1_In,Yo,S1,In,D,531.4423825995948,39.60674315074476,-110.54835861630332,150.61427487928452,-2.717787925751968e-05,0.13074449808065616
0.005,Yo_S2_Ex_C_d0,Yo_S2_Ex,Yo,S2,Ex,C,445.12171747852983,22.998005823090857,-112.62865802645452,146.36034641254713,-2.259889972697672e-05,0.1448960455545384
0.005,Yo_S2_Ex_D_d0,Yo_S2_Ex,Yo,S2,Ex,D,372.8910322550749,32.804002253161194,-106.23846611669724,142.11086971767946,-2.1575791703670513e-05,0.14129537887291074
0.005,Yo_S2_In_C_d0,Yo_S2_In,Yo,S2,In,C,371.291066641666,21.62383371482831,-115.32261162591536,142.00767122918123,-1.5577609878153825e-05,0.13930800858081158
0.005,Yo_S2_In_D_d0,Yo_S2_In,Yo,S2,In,D,234.3159599539915,26.220773989067286,-104.2621515016473,130.96009105908436,-2.1519410744703863e-05,0.1450362276412578
0.005,Yo_S3_Ex_C_d0,Yo_S3_Ex,Yo,S3,Ex,C,450.165245130987,34.21788493669711,-117.48091934799447,146.6307534422629,-7.93153617904329e-06,0.12665520364006036
0.005,Yo_S3_Ex_D_d0,Yo_S3_Ex,Yo,S3,Ex,D,704.0519637173741,53.37582077894612,-97.93248522464518,157.36445197278255,-2.9297397829933507e-05,0.13366576338077882
0.005,Yo_S3_In_D_d0,Yo_S3_In,Yo,S3,In,D,368.44618652731793,31.312981670827938,-106.94883667102917,141.8230720108378,-4.89943895536944e-05,0.1373424799331136
0.005,Yo_S4_Ex_C_d0,Yo_S4_Ex,Yo,S4,Ex,C,591.6485331366001,41.723405558216484,-109.11280209869216,153.1899063492458,-2.279072209117273e-05,0.14551167400898427
